reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2I0LO24RIAAGF,B00002NATH,nick benson,"[0, 0]","Yep, it is an outlet and yes it works for my needs.  Don't know how you would rate an outlet other than it works.",5,Fine,1386892800,"12 13, 2013"
AV5YX76EIQOOF,B00002NATH,"Red ryder ""10- 4""","[0, 0]",needed an outlet Lowes had some flimsy ones saw this one so I bought it seems to be better made than ones at local store. works well,5,plug and play,1351555200,"10 30, 2012"
A19O0FFCS9C5CZ,B00002NATH,Stanley L Newton,"[0, 0]",The item was what I was looking for.,4,Four Stars,1404172800,"07 1, 2014"
A34KYPXEFZJTX1,B00002NATH,Thomas C. Lyon,"[0, 0]",You will be satisfied with this receptacle. It is exactly as represented. The strap is configured for various mounting boxes and covers.,5,30 AMP RV PLUG,1317168000,"09 28, 2011"
A3SAYXQXBE8OEQ,B00002NATH,Troy J.,"[0, 0]",better than the midwest better connections it looks like it will hold up so far the last ones have not melted like the midwest,5,better than midwest,1396396800,"04 2, 2014"
A28H61YGBAM5RD,B00002NATH,Wallace Medley,"[0, 0]",Same as the ones you get in electrical supply!  Will buy again when supply runs out. Don't be afraid to order these.,4,Good product,1367280000,"04 30, 2013"
AG7YL8LOLBCCM,B00002NATH,"wirefire ""jws""","[0, 1]",The picture showed the fixture with the box.  Only the fixture came.  No box. No good with out the box.  did not use.,4,Leviton fixture,1386547200,"12 9, 2013"
A146NCUAVC06A8,B00004SQH5,"Amazon Customer ""Mike M.""","[2, 2]","We were having a problem with a portable oil filled heater overheating a standard outdoor extension cord.  At the suggestion of a friend, I found this cord, and it made a huge difference!  Great job, and no issues with the cord getting hot.  Thank you Coleman!",5,Awesome piece of gear!,1304553600,"05 5, 2011"
A2EZ2L3JKNGTZ6,B00004SQH5,anthony america,"[5, 8]",Sorry:::: but this product caught fire on me and only the new cord that I had plugged into my filter lineI then removed the other two and they were very warmNo Stars on this one they should not be soldHazard plain and simpleXXXXXXXXXXXXXXXXI had to rate this item so it would enter system but please don't purchase,1,Fire,1372032000,"06 24, 2013"
A2RNNC0QCDS2NI,B00004SQH5,"BBQ Queen ""aray""","[5, 10]","While I am sure this product , 15' Major Appliance Extension Cord by Coleman Cable,is fine, I specifically ordered it because the description stated ""Made in USA"".Whenever possible I will buy ""made in USA"" products. I was very disappointed to note on the package that the product was made in Indonesia. I could have bought the same item in any store for less than I paid for this one. Shame on Amazon.",3,deceptive description,1319155200,"10 21, 2011"
A1HDSDRYIPM1PB,B00004SQH5,Bryan S.,"[0, 0]",The cord works as well as expected for a 14/3 gauge.  The application was subject to need ... in a pinch.,5,Good product!,1383091200,"10 30, 2013"
A2WMDG1TQ4L1G6,B00004SQH5,"Christopher A. Goeth ""cg""","[0, 0]",I have a corded drill but the cord is quite short.  This helps me reach the outlet and just gives me that extra room to maneuver well.  The cords seems well constructed and sturdy for home DIY projects.,4,Just what I was looking for,1391558400,"02 5, 2014"
A15GP2ZK7LETVT,B00004SQH5,Christopher A. Smith,"[0, 0]","As others have said here, this is plainly marked on the packaging as having been made in Indonesia, *NOT* the USA as stated in the description.  Where it's made wasn't what drove my purchase, but the seller should ensure that this clearly incorrect claim is corrected on the product description.",3,NOT made in the USA,1403827200,"06 27, 2014"
AQMD0WGJVD4RJ,B00004SQH5,CJ,"[2, 3]",I needed a heavy duty extension chord for my standup freezer in the garage.  I bought this based on the reviews and have used it without any problems for about 5 months now.  If you need an appliance extension chord - this is it.,5,Great for standup freezer in the garage,1353456000,"11 21, 2012"
A3U8B622ASXHKF,B00004SQH5,Coach Vine,"[1, 1]",Works great in the garage with the refrigerator.  No frills extension cord that only gets a star off due to the color.,4,Quality Extension Cord,1383350400,"11 2, 2013"
ATGLHCY1BZ0TO,B00004SQH5,conis,"[0, 3]","In 1956, I got my PHD in extensioncordology. You got your long ones and short ones, Fat ones and skinny ones, Light ones and heavy ones and black, white and orange ones. This is a three footer- 15 amp flat plugger 3 prong. You won't run your camper in Cincinnati if its plugged in Tucson. But it's a start.What else can you say about a cord. It works or it doesn't. This does and decent quality.",5,There are extension cords.... and there are EXTENSION CORDS.,1402790400,"06 15, 2014"
A3B5TVNB7S059J,B00004SQH5,Consumer,"[0, 1]",Im not crazy about the flat cords. I prefer the round jackets.But it is the 12 gauge I needed and the price was good.,4,12 gauge,1361577600,"02 23, 2013"
A2ST4J4ULZUQ61,B00004SQH5,Dan A.,"[2, 3]","This is a good heavy duty extention cord.  It seems to be well made.  It is very stiff, however.  I had to take a few minutes to work the bends out of it before it would lay straight.",4,"Sturdy, but stiff",1297641600,"02 14, 2011"
A1BJQB277QBBEU,B00004SQH5,Danny H.,"[0, 0]",I needed this to extend the cord on a dust collector in my wood shop. It's well made and does the job at a better price than the big box stores. Thanks Amazon !,5,nice heavy extension cord,1370131200,"06 2, 2013"
A1JWLUIESPWA8X,B00004SQH5,"Dean Tecklenburg ""&#34;Retired & Lovin It&#34;""","[0, 0]",needed power to an area without any a/c outlets behind our theater seats on our lower level...placed this in a cord protector purchased from amazon from a side wall to behind the seats...being the cord is flat inside the cord protector there is no hump when you walk on the cord protector/extension cord...the flat plug is also a plus as it doesn't stick out from the wall...nice wall hugging effect...,5,"Coleman Cable 3535 14/3 General-Use Appliance Extension Cord, 12-Foot",1358035200,"01 13, 2013"
A2PO877KJ8DQL9,B00004SQH5,D. J.  Sharp,"[0, 0]",I just needed about 2 feet to reach an appliance. This was just the fit. I was concerned about some cords I reviewed on Amazon that shorted out or caught on fire. This cord is made in China.Yuck! So far my house has not burned down. I will keep you informed.,5,Extension cable,1403136000,"06 19, 2014"
ASYSKVXEN1OZ,B00004SQH5,Donald Avore,"[0, 0]",Wanted a heavy duty outdoor extension cord for Christmas lighting. This one is 14 gauge and very well made. Would recommend to a friend. Color matches our aluminum porch posts and railings.,5,Great outdoor extension cord.,1388016000,"12 26, 2013"
A2RV7RG3QT9UIW,B00004SQH5,EBK,"[2, 10]","I needed a short, heavy duty extension cable with the grounding wire at the end of the plug away from the cable, rather than next to the cable. In the image for the 3 ft. cable, the grounding wire appears to be in the position I needed, but it is, in fact, next to the cable, so would not go into my outlet and I had to return it.",1,Cable image is misleading,1358121600,"01 14, 2013"
A2YTOYSCMVC7AJ,B00004SQH5,edcpro,"[0, 0]",Needed a short outdoor power cable for my electric start snow blower. The angled plug makes it more secure in the electric outlet so it does not easily pull out of the socket. Its short length keeps it out of the way of the various moving parts of the snow blower.,5,Perfect for my electric start snow blower,1386028800,"12 3, 2013"
A2HMABD51C89MG,B00004SQH5,eddie,"[0, 0]",This is a nice cord for appliances with it's right angle plug so you can get appliances close to the wall without the plug getting in the way. Well made and a decent price on Amazon.,5,Appliance Cord Review,1298592000,"02 25, 2011"
ADDPCR2E8XO27,B00004SQH5,GA,"[1, 2]","While it's 'stiffer' than it should be at room temperature, its passable.  It needs stretched out (weighted) straight, in the hot summer sun to get the kinks out. To bad it's winter.",3,Coleman Cable - inside 14-3 appliance cord,1358208000,"01 15, 2013"
ALV34HBUTUUDO,B00004SQH5,Glen,"[1, 1]","This extension cord is exactly what I been looking for.  I need a powerful yet not too bulky extension cord for my new PC.  This cord has 15 amp, it means it can produce 1800 watts for your appliances if you have 120 Voltages in your home.  It is only 14 gauge, not too big to look ugly, and I love the price and color too.  A must have if you don't want over-charged your appliances.",5,"Coleman Cable 3536 14 gauge 3 prongs extension Cord, 15-Foot",1337990400,"05 26, 2012"
AF1ELAE31QYXC,B00004SQH5,Holly Sparkman,"[1, 1]",does what we needed it to do - exact length and is more flat to the wall than a standard cord,3,it works,1365379200,"04 8, 2013"
A2PY6CR93TNXDN,B00004SQH5,Houseware Enthusiast,"[7, 12]","Amazon description says made in USA, but the 6' cord I got was made in Indonesia. That's disappointing.  I spent extra for this cord over other ones Amazon sells on the basis that it was made in the U.S.",3,"Seems fine, but made in Indonesia",1319760000,"10 28, 2011"
A2H5ZMH5TFB9GK,B00004SQH5,Hrvats,"[0, 0]","I use it for a small portable oven.  It is flat on the sides, about the thickness of floor molding.  The 90 degree plug is real nice for putting it behind cabinets.",5,It works,1364428800,"03 28, 2013"
ADX0F5JQ5DWH4,B00004SQH5,Jake M,"[0, 0]","This is heavy duty, rigid extension cable perfect for all kinds of uses and looks to be built very solidly. I love the angled 3-prong plug as it sits nice and flush to the wall. Nothing not to like. Highly recommend.",5,Really nice...,1387238400,"12 17, 2013"
AHB9EKWJQ0E1V,B00004SQH5,Jennifer Pepple,"[1, 1]","I purchased this cord for our window air conditioning unit.  The shipping was really quick, and the cord itself seems to be well constructed.",5,Quality cord,1402790400,"06 15, 2014"
A1CMULB2KTGOEZ,B00004SQH5,J. Jones,"[0, 0]",Used this as a short extension for a window A/C unit.  Does the job with not voltage drop and the A/C unit works great.,5,Perfect for High Current Appliances.,1384300800,"11 13, 2013"
A2XWNL7JV2VE7,B00004SQH5,J.L.,"[0, 0]",Not too much to say about this. It works great. We use it in our garage to plug in our stereo when we workout. We use it nearly everyday and haven't had any issues.  It works without fail.,5,Great product,1354924800,"12 8, 2012"
ABPPW1ELSB51R,B00004SQH5,Justin W. Shertzer,"[0, 0]","I bought this extension cord to give me some extra range on a small space heater.  Yes yes I know I know, they say to never use extension cords with those, but I made sure to get one that wasn't very long (this is just a 12-foot cord), and one that has a large enough gauge wire in it to handle the load.  The space heater can draw a max of 12.5 amps and this cord is rated for well over that amount.  The cord does not feel hot even after extended usage of the space heater.",5,Now You're Playing With Power,1369094400,"05 21, 2013"
A12CUIE3AW8OX4,B00004SQH5,J. Watton,"[0, 0]","Hooked this baby up to a Breville toaster oven to shorten the toasters ridiculously long plug (seriously, it sticks out like 2 and half inches). Works like a charm and allows me to move the oven closer to the wall.",5,Works as advertised.,1363046400,"03 12, 2013"
A246GIN7XVN4B4,B00004SQH5,Kandi,"[1, 1]","My basement only has 4 electrical outlets.  During the frigid winter months, I use space heaters to prevent pipe freeze-ups.  The problem is that where one of the outlets is, the heater cord only stretches a short distance, so the heater is behind the water heater - not giving off the heat for the rest of the area.  I only needed a short extension cord - and wanted something that is Heavy Duty, to prevent overheating of the cord.  I just plugged it in - it is the perfect length!  I will provide an update on whether the cord gets hot when I use the heater.",5,Well-made.  Perfect for the extra length I needed!,1390608000,"01 25, 2014"
A3SFTV6UNUE7H7,B00004SQH5,Keith G.,"[0, 0]","This product is an extension cord. It is heavy duty. It plugs securely into the wall socket. It receives appliance plug securely. The jacket is stiff, but since it is intended for indoor use this should not be a problem.",5,a review,1390953600,"01 29, 2014"
A3SF7R5BRXPQJP,B00004SQH5,Kenneth L.,"[0, 0]","Many people have said it's from Indonesia, but I couldn't find any markings either way. Some people have mentioned fires; the female end was CRAZY HARD to insert, I wouldn't be suprised if the fires were from it not being plugged in all the way",3,"No major problems, but unimpressed",1395360000,"03 21, 2014"
A2OOMYOXLN0GSG,B00004SQH5,"K. Permuy ""Em & Josh's Mom""","[10, 10]",We used this to run a 8000 btu air conditioner from an outlet across the room.  Worked perfectly.,5,Exactly what I needed.,1278460800,"07 7, 2010"
AB00KQZ88BSAZ,B00004SQH5,LCA,"[0, 0]",I used it the moment it arrived and it works well. Better than using any old extension plug,5,Perfect APpliance plug,1405036800,"07 11, 2014"
A12WI9P6ZFABHS,B00004SQH5,lzy_tek,"[0, 0]",It's quite heavy which is a good thing. I am expecting that it will work for a long time. Do the job.,5,Solid cord,1396569600,"04 4, 2014"
A1OY65LIH53EHK,B00004SQH5,Manhattanite,"[2, 3]","This is a great buy in a first quality extension cord.  This model is very heavy duty, and well suited my use for an 8,000 BTU air conditioner. The short, 3-foot model was ideal for my needs.  I needed it because the GFI safety part molded onto the end of the AC's power cord is too large to fit into the available outlet, which is in a tight corner in the room  This short cord gave me the clearance I need, without the extra, unneeded bulk of a longer extension cord. No part of the extension cord gets warm from electrical current, even when the AC unit has been cranked up during extended heat waves.  Looks like it will last a lifetime.",5,"High quality, extra heavy-duty, bargain price",1375056000,"07 29, 2013"
ASKH9FN7XZDWC,B00004SQH5,M. Armstrong,"[4, 4]","So this thing sits flat against the wall. I had a lamp I needed to light up on a switched outlet. This cord not only gave me some extension cord, it also right-angled the plug. Fantastic. My living room is complete.",5,Good cheap extension cord.,1243209600,"05 25, 2009"
A25JUE9AFX7SUC,B00004SQH5,Matthew,"[0, 0]",I moved the fridge into my closet but the plug wasn't long enough anymore. I wasn't sure what extension cord I needed but I did some research and this seemed to be more than sufficient. It works great. I don't know if it would be good enough for heavier use. Most appliances specifically tell you not to use an extension cord no matter what the length.,5,I have a small fridge in my bedroom.,1404864000,"07 9, 2014"
AYQF865HA1DPA,B00004SQH5,"Maureen M. McCarty ""stardustgirl""","[9, 13]","I ordered this specifically because it says ""made in usa"" in the product details. When it arrived, the cardboard wrapper clearly states that this item is made in Indonesia. After having had several made in China appliances and electrical items recalled due to fire hazards (Apple products, dishwasher, microwave, surge protectors, and dehumidifiers), and reading another review for this exact item where it did catch fire, I was unwilling to trust this item for unsupervised use in our basement.While the item itself gets one star for being not as advertised, I do give Amazon 5 stars for their painless handling of my refund. Excellent customer service! Hopefully they update the description soon so others aren't misled.",1,NOT made in the USA,1382659200,"10 25, 2013"
A2U0AHQHKW6ZV5,B00004SQH5,Meticulous,"[0, 0]",it was great to be able to purchase the small size for our home project.  would purchase again as item is solid.,5,perfect size for home project,1374192000,"07 19, 2013"
AV15W3FPLQPN0,B00004SQH5,"MikeDidIt ""Have a GREAT One!""","[0, 0]","I use this cord/brand because the quality is great, 14-gauge is heavy duty for 3-feet, and they are made in the USA. Highly recommended!",5,Excellent cord and Made in USA!,1395273600,"03 20, 2014"
A18VPK0G0SXBHW,B00004SQH5,Neil Califano,"[2, 3]","Good extension cord, but the quality is a little less than made in USA. Package says made in Indonesia. The price is right and a BUY.",4,"Good cord, good price",1347580800,"09 14, 2012"
A28F2L43L328G,B00004SQH5,"NJJOANY ""NJJOANY""","[0, 0]","Sometimes a short, heavy duty extension cord is needed for certain places.  The fits the bill and it was very convenient to order.",5,great short excellent extension cord for many uses,1375315200,"08 1, 2013"
A2RMHDK9N788FQ,B00004SQH5,"Norman C. Sweet ""Col Stormin Norman""","[0, 0]","Why doesn't anyone make tan extension cords anymore? Well these guys do and it was just what we needed to connect our last set of backyard lights to the rest of our string. Very beefy, very robust, also a bit pricey, but that's do to the build quality no doubt. I'd buy again.",5,Backyard lights,1372377600,"06 28, 2013"
A1MZ23CWJSKOOG,B00004SQH5,Pamela,"[0, 0]","I needed this for my refrigerator and I wanted a good heavy duty extension cord to do the job.  This is a really nice heavy gauge, three prong extension cord.  I was impressed enough by it that I bought another one.",5,Good heavy duty extension cord,1384473600,"11 15, 2013"
A18MTO6BUEEXQA,B00004SQH5,Patriot,"[0, 0]","I purchased this cord based upon another review I read.  Just wanted to leave a correction.The specifications are correct and the cord works perfectly.  Coleman Cable makes great products and I have purchased their stuff before.  A review suggested that the cord is Made in the USA.  Coleman Cable does make a lot of cabling products in the US, but the 6 foot cord I received from Amazon was Made in Indonesia.",5,Country of Origin,1397606400,"04 16, 2014"
ADREYR6SZQW4J,B00004SQH5,QualityDirector,"[0, 0]","I know a little about extension cords having dealt with the subject in my occupation as a quality director and compliance engineer for over 30 years.  You really need to be careful when selecting an extension cord for a variety of reasons.  These extension cords are well-made and are worth the little extra you might pay over what you can find that's ""cheaper.""  Beware of ""cheap"" in an extension cord! And use the right gauge and length for the application.",5,"Good value, constructed well",1299196800,"03 4, 2011"
ABKU2JURMD5GI,B00004SQH5,R. Chambers,"[0, 0]","We chose because microwave has no outlet. 3 foot is just the right size, not having extra cord laying around. Would recommend.",5,Microwave Extension Cord,1391212800,"02 1, 2014"
A2OKOOSFLJHD5E,B00004SQH5,R. King,"[0, 0]",This extension cord is perfect for an electric BBQ; I'm using mine with a Char Broil Patio Bistro and it works great. This is a 14 gauge cord so don't expect it to be super pliable but it does loosen up with some use making it easy to coil up. The color is just what I was looking for because it matches the light tan tile on my patio. One nice feature is the plug going into the AC outlet is set so that it hugs the wall.  This is a very good product.,5,Very good heavy duty extension cord,1374019200,"07 17, 2013"
A3B2SJIZ8VS4VK,B00004SQH5,R. Lawrence,"[0, 0]","It has a flat plug, which is what I needed, and appears to be well made.  14/3 wire good for 15 amps and our new, efficient fridge draws about 2 amps starting and 1 running.  I bought this unit so that I could temporarily install a wattmeter near the fridge to asses its energy usage and it worked fine for that purpose.",5,Short extension cord for fridge,1404086400,"06 30, 2014"
A1Q8VF4QRF0N2Z,B00004SQH5,RUM an COKE,"[3, 3]",This was exactly what I was looking for. I needed a heavy duty cord to run a window AC unit but they are hard to find unless you want 50' of it. This is the perfect size and built great. Its the right gauge for most appliances.,5,Perfect!!,1307577600,"06 9, 2011"
A1U6ERXWEXQLH6,B00004SQH5,scbeach,"[1, 1]","Does it's intended job and was the cheapest price at this time I purchased it. I bought to use for a 13,000 BTU portable De'Longhi 4-in1 unit.",5,"Coleman Cable 3536 14/3 General-Use Appliance Extension Cord, 15-Feet",1374796800,"07 26, 2013"
A29E6Y7IUWGYHY,B00004SQH5,Scott,"[0, 0]","Good heavy duty cord, using it on my temperature controler.  Great value for the money.",5,would recomend,1405036800,"07 11, 2014"
A3N9TOPHBENB9I,B00004SQH5,S. Harrison,"[0, 0]","I bought this to use with a small air compressor in my garage.  Works great, the plug fits flat against the wall, and the cord, while heavy-duty, is flexible enough that it can be run neatly along the base of the wall.",5,"Heavy duty, yet flexible",1294531200,"01 9, 2011"
A335OKI0MN0RJ4,B00004SQH5,Stanley Rozborski,"[0, 0]","Perfect sice extension cable for small work project, with out using a much longer cord for these jobs. Got it for a reasonable price.",5,cable,1319241600,"10 22, 2011"
A6DIFJ1R7BK0O,B00004SQH5,"Steve F ""srf122""","[0, 0]",Never get's warm and does it's job perfectly while it's connected to a small room heater.  Good value for the buck.,5,Does it's job,1355011200,"12 9, 2012"
A2BFH1VK6JTYNV,B00004SQH5,Steve,"[0, 0]","This blends in with my beige carpet.  Otherwise, it's just an extension cord.  Works fine.  Get one if you have beige carpet.",5,Great cable,1355184000,"12 11, 2012"
A2WPFM6RVBD2PK,B00004SQH5,Steven Husson,"[1, 1]",I needed to extend my AC cord and this was the perfect answer.  There was too much load on my Master bedroom circuit but this reached another outlet on a different circuit.,5,Perfect length for what I needed,1372118400,"06 25, 2013"
AXN22377E80RX,B00004SQH5,Steven R. Akers,"[0, 0]",The cord is flat and flexible.  I like that.  It arrived very quickly too.  The plug is a 90 degree type so it hugs the wall nicely.  14 AWG is pretty hefty as well.  You won't be sorry for buying this.,5,Nice Cord,1341446400,"07 5, 2012"
AC6CDB9KAFIJ0,B00004SQH5,"Steve of NorCal ""Spaceridder""","[4, 7]","Coleman Cable 3536 14/3 General-Use Appliance Extension Cord, 15-FootIt's not a  Coleman Cable 3536 14/3 But a CCI cable Major Appliance Cord. That's the only marking on the packaging. Yes it's 15 ft and is 3 prong. But that is it. Tan in color. A bit disappointed in what I received That is why I gave it the 3 stars. And I don't know if its indoor/outdoor???? On The package it says made in Indonesia. No place on the package does it say the gauge of the wire. I should be 14ga, But who knows what it is???? I can't recommend this Appliance Extension Cord since it is not labeled correctly! It's sure a disappointment! It's going back to Amazon in the AM. Another case of Amazon shipping cheep imported products and not labeling the products truthfully. I'd rather pay a bit more and get a good product in the first place. Than have to go threw the hassle of returning the item and then go shopping for a replacement item a second time! Amazon I hope you read this!",3,"NOT A Coleman Cable 3536 14/3  But a CCI General-Use Appliance Extension Cord, 15-Foot",1352246400,"11 7, 2012"
A2QBQULMRIPX1K,B00004SQH5,surfcity,"[0, 0]","So glad I found this little cord for my small refrigerator. No more stumbling over a 9 ft. cord when I only needed a couple of extra feet.Appears to be a heavy, good quality cord. So far, so good.",5,Perfect size!,1393372800,"02 26, 2014"
A160XGK6CEMUFB,B00004SQH5,susan,"[0, 0]","Good to have when you don't have much room next to the outlet, like a couch or desk is against the wall.Prevents the cord and outlet from getting damaged when it is twisted (I have had that happen).",5,works good,1376179200,"08 11, 2013"
A39JXUF80HIH2P,B00004SQH5,Susie,"[0, 0]",Perfect length to connect my over the range microwave to a wall plug.,5,Five Stars,1404345600,"07 3, 2014"
AHNKKV08PMH1K,B00004SQH5,T Brown,"[1, 1]","No surprises here, I needed an extension cord that worked great with heaver appliances.  Does the job, cord is sturdy.",4,just what was needed,1386806400,"12 12, 2013"
A2MIP3AQVSF2SS,B00004SQH5,"Teh Arbitrageur ""PM""","[4, 5]","Forget the name Coleman -- a standard of quality and reliability for decades.  Forget the fact that this made of super-rugged, high-capacity 14-gauge wire.  Forget that this is a grounded 15-foot extension cord.  Wait a second -- I think we've forgotten too much.What I mean to say is, when you put all these factors together -- the safety, toughness, dependability, and convenience of this extension cord, you might think it would cost $50.  Wrong.  $35?  Wrong!  It's a steal at only (insert actual price here).Seriously, folk -- you can never have enough high-quality extension cords, so do stock up!",5,"The perfect extension cord, IMHO",1346889600,"09 6, 2012"
ASA48X4YOUQ9R,B00004SQH5,tomiokaman,"[3, 4]","I specifically ordered these 15 foot and 6 foot cords because of the ""made in the USA"" in the description.  Both of these were made in Indonesia.  Despite that these seem to be made well.",4,NOT made in USA!!,1336521600,"05 9, 2012"
A297MY8QTKGXW4,B00004SQH5,Tony Thiel,"[2, 2]","Why is it that things like Vacuum cleaners and Steam Mops never seem to have a long enough cord so that you don't have to keep turning the unit off, unplugging and plugging into another outlet?  Seems like they're always about 10 foot short.I needed a 3 pronged semi heavy duty cord about 10 ft long and this just fits the bill.  Most short extension cords are two pronged and geared for light duty such as lamps and kitchen counter appliances. Having searched Home Depot, Sears, K-mart and Walmart, I was ready to give up.  Most their 3 pronged heavy duty cords are those bright orange and long 20ft and longer ugly cords.I didn't think I'd find it here at Amazon and like the man says ""Surprise, Surprise""!  And it works well with my Euroflex Monster Steam Cleaner as well as my Miele Vacuum Cleaner.  And short enough for easy storage.The only reason for 4 stars is because the plug is at an angle and I would have preferred a standard straight plug.",4,Perfect 3 prong heavy duty extension,1356393600,"12 25, 2012"
ACQYIC13JXAOI,B00004SQH5,Tooncesmom,"[16, 17]","We heat and cool individual rooms in our large house. After one winter of heating my bedroom-cum-sitting room with a portable Vornado heater, I was getting ready to set up the circular fan when I discovered the Chinese-made multi-plug extension had overheated and was nearly welded to the heater plug. A little research pointed me to the Coleman Cable 3533 14/3 General-Use 9-Foot Appliance Extension. After reading the reviews, I discovered that this cord is the proper gauge for cooling and heating appliances, does not overheat and lies flat against the wall. It's perfect for my application, is a quality item and adheres to my goal of buying US-made products. Thank you, Coleman!",5,Inexpensive Made-in-the-USA Extension Cord,1308614400,"06 21, 2011"
A1Z66K0CDKXZTD,B00004SQH5,"V. Christy ""ArtistAtWork""","[0, 0]",They are what they are and they work just fine if you need a short extension cord. I recommend them to anyone.,5,Nice short 3' extention cords,1388275200,"12 29, 2013"
A3SYWHMDRLQRMF,B00004SQH5,Victor,"[0, 0]",I bought this cord for a mini fridge that I keep my water in and it works like a charm,5,it works,1393113600,"02 23, 2014"
A3TFCCUQ4C19IK,B00004SQH5,VirtualValerie,"[3, 5]","I was disappointed that amazon's product description states this is made in the USA.  I purchased based on that information, however upon receiving it, it's clearly marked &#34;made in Indonesia&#34;",1,Not made in the USA,1394150400,"03 7, 2014"
A1F6RBMF1MPG6F,B00004SQH5,Walter Blackstock,"[1, 6]",while the quality is fine it is not a right angle plug. A right angle plug faces to the right when plugged into an outlet. This one goes straight down.,1,not a right angle cord.,1397520000,"04 15, 2014"
A24J6PQ0FN55A6,B00004SQH5,WestGrl,"[4, 4]","I moved into an older apartment that wasn't designed for modern appliances. There are no outlets by the bedroom windows. I bought a 5,000 BTU window air conditioner & bought this extension cord so I could plug it in to one of the outlets nearby. This does the job perfectly. I've been running the a/c at night for a week with no problems. Cord is thick & sturdy.",5,Great for A/C,1303603200,"04 24, 2011"
A2KG6AWJSWILPR,B00004SQHD,Christopher J Park,"[2, 2]","Needed another couple of feet with new dryer, perfect fit.  Gives you more options then the shorter cords normally sold.",5,Perfect Fit,1363392000,"03 16, 2013"
A1F8KMYRU1WEF2,B00004SQHD,Darlene and David,"[0, 0]",Worked perfect and was cheaper than the same thing at Lowes. I put it on my oven and plugged it in. No complaints.,5,It's an over cord,1383955200,"11 9, 2013"
A216Q289O6I5BD,B00004SQHD,GlacierBabe,"[0, 0]",Due to the nature of this item there is really not much to say except that it works and appears to be a high quality cord.  It meet the specifications for the range it supplies power to and met the approval of our electrician.  I would purchase another one if I had need of it.,5,Good quality cord,1386633600,"12 10, 2013"
A2OXDRWBASV91Y,B00004SQHD,Harold E. Ewing,"[1, 1]",I like the fact that the wire ends have mounting tips assembled and that the cord has a strain relief clamp included.I'd recommend this to any diy person,5,complete package,1366416000,"04 20, 2013"
A11QC8XY4UEWI7,B00004SQHD,Hawaii Shopper,"[0, 0]",Used for my Bosch EV car charger so it is not hard wired.  Allows the device to be unplugged and no crimping tools needed to terminate the main electrical wires feeding the device.,5,Great price and quality,1399939200,"05 13, 2014"
AR3OHHHW01A8E,B00004SQHH,Calvin E Reames,"[0, 0]",Care must be taken to insure that you have the correct cable for the outlet.  We had to be sure that the four foot would be enough.,5,Get the right one,1390867200,"01 28, 2014"
